id,job_title,company,location,experience_min,experience_max,salary_min,salary_max,skills,job_description,employment_type,industry,functional_area,role,posted_date
156,Senior Business Analyst,,Gurgaon,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Consulting| Analytical| Data collection| Sales| Business Analyst| CSAT| Customer experience| Data processing| Management| Translation,,,"IT-Software, Software Services",IT Software - Other,System Design/Implementation/ERP/CRM,2019-07-05 14:16:54 +0000
157,"Data Scientist, Advanced Analytics",,Gurgaon,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,data science| machine learning| python| algorithms| java| data visualization| advanced analytics| data analysis| data mining| Eta| R| Network Optimization,,,"IT-Software, Software Services",Analytics & Business Intelligence,Analytics & BI,2019-07-04 20:05:11 +0000
158,Business Analyst - Modeling - Credit Card/ Banking Domain,,Gurgaon,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Statistics| SAS| Analytics| Predictive Modeling,,,"Banking, Financial Services, Broking","Financial Services , Banking , Investments , Insurance",Financial Services/Stock Broking,2019-07-04 17:16:03 +0000
159,Business Analyst - 99acres.com | Info Edge (india) Ltd.,,Delhi NCR,0,1,Openings: 1,Openings: 1,tableau|data analytics|Business Analytics|real estate|business analysis|business growth|strategy|business intelligence,,,Internet / Ecommerce,Analytics & Business Intelligence,Analytics & BI,2019-08-04 15:05:42 +0000
160,Web Data Analyst,,Hyderabad,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Computer Savvy,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",Programming & Design,2019-07-04 21:52:03 +0000
161,Strategic Business Analyst I ( IIM & Iit's Only),,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,credit card analytics| strategic planning| strategy| strategy development| statistical modelling| sas| predictive analytics| business analysis| corporate planning| corporate strategy| financial modelling| management consulting| business intelligence,,,"Banking, Financial Services, Broking","Strategy , Management Consulting , Corporate Planning",Corporate Planning/Consulting/Strategy,2019-07-05 22:51:25 +0000
162,"Business Analyst - Mumbai, Malad",,Mumbai,0,1,"4,00,000","7,00,000 PA.",,,,"Retail, Wholesale",IT Software - Other,System Design/Implementation/ERP/CRM,2019-07-06 20:10:32 +0000
163,Sr. Manager Learning & Development with Moody's Analytics (IC Role),,Gurgaon,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Learning| Client Management| Training Need Analysis| MDP| Logistics Coordination,,,"KPO, Research, Analytics","Teaching , Education , Training , Counselling",Teachers,2019-08-04 12:50:57 +0000
164,Reporting Analyst - Technology - Tableau/sql/r,,Delhi NCR,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Tableau| SQL| R| SAS| Python| Reporting Analyst| Technology,,,"IT-Software, Software Services",Analytics & Business Intelligence,Analytics & BI,2019-07-04 17:09:15 +0000
165,PRODUCT MANAGER / BUSINESS ANALYST,,Chandigarh,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,PRODUCT MANAGER | ANALYST| product| expert| project| environment| or| feature| analysis,,,"IT-Software, Software Services",Analytics & Business Intelligence,Analytics & BI,2019-07-04 08:47:05 +0000
