uniq_id,posted_date,job_title,salary_raw,experience_raw,skills,role,location,functional_area,industry,company,job_description,employment_type,experience_min,experience_max,salary_min,salary_max
c06f4c5d1a3d53669d79001260d0afb5,2019-08-04 21:55:04 +0000,Manager - Analytics, Not Disclosed by Recruiter ,3 - 8 yrs,advanced analytics| senior management| design development| customer management| vendor selection| portfolio management| data architecture| stress testing| big data| cross selling,Analytics & BI,Mumbai,Analytics & Business Intelligence,"Banking, Financial Services, Broking",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
fd5348330dd99418c0b9ea53faecfb80,2019-07-04 12:10:58 +0000,ACN – Digital – Analytics – Operations Analytics Analyst, Not Disclosed by Recruiter, 0 - 2 Years,project management|people management|operations|digital analytics|data management|supply chain|management systems|Machine learning|SAS|SQL|VBA|Tableau|Qlik|Spotfire,Analytics & BI,Gurgaon,Analytics & Business Intelligence,IT-Software / Software Services,,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
406618f06b2eb75f78c490c9322352f4,2019-08-04 07:05:20 +0000,Manager-data Analysis & Reporting(tableau&sql), Not Disclosed by Recruiter, 6 - 8 Years,data extraction|tableau|data analysis|data analytics|automation tools|data governance|team management skills|reporting|Risk Management|sql,"EXL (Nasdaq:EXLS) is a leading business process solutions company that helps companies drive business impact and adapt faster to the changing global marketplace. EXL provides operations management, embedded analytics and technology platforms to organizations in the banking and financial services, healthcare, insurance, utilities, transportation and logistics, and travel industries. With more than 21,000 people around the world, we work with our clients as strategic partners to execute operations, identify opportunities to gain a competitive edge, and create new channels for growth and savings. Headquartered in New York and operational since 1999, EXL is present in the U.S., U.K., Singapore, Romania, the Philippines, India, Germany, Czech Republic and Bulgaria. For more information, visit www.exlservice.com.",Noida,Other,KPO / Research / Analytics,,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
dca9337351fcf41d444cd5f6e8e6fb8c,2019-07-05 20:01:49 +0000,Business Analyst Accounting Engine, Not Disclosed by Recruiter ,5 - 10 yrs,Front office| Data analysis| SQL| MS Office| Forecasting| Macros| Budgeting| Change management| Risk management| Balance Sheet,Finance/Audit,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
2d78f85db580295167ffdd20c604579b,2019-08-04 17:56:47 +0000,Business Analyst - Logistics/supply Chain Domain, Not Disclosed by Recruiter ,2 - 6 yrs,Business Analysis,Analytics & BI,Mumbai,Analytics & Business Intelligence,"Courier, Transportation, Freight , Warehousing",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
12e6acd63a82e6a7326ba701ea0ded16,2019-07-05 19:04:08 +0000,Sales Manager - Business Intelligence Analytics ( BIA ), Not Disclosed by Recruiter ,5 - 10 yrs,Sales Management| Presales| Sales Operations| Post Sales| New Business| Business Intelligence,Retail Sales,Delhi NCR,"Sales , Retail , Business Development",IT-Hardware & Networking,,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
e40e3ff3d2770012852adcdcdc78ca68,2019-08-06 07:19:25 +0000,Manager Warranty Analytics, Not Disclosed by Recruiter ,6 - 10 yrs,Relationship management| Root cause analysis| Service level| Process optimization| Tracking| Monitor| Analytical| Continuous improvement| Operations| Analytics,Voice,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
5b9a43f441dac4581d2cd2d512b858f7,2019-08-05 18:40:50 +0000,Vp Analytics, Not Disclosed by Recruiter ,5 - 7 yrs,Service delivery| Consulting| Machine learning| Computer application| Business management| Data analytics| Strategic leadership| Stakeholder management| Statistics| Analytics,Senior Management,Mumbai,"IT Software - DBA , Datawarehousing","Telcom, ISP",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
c226be9c5ddbc26ea3cb472e4a982a8e,2019-07-06 07:31:49 +0000,Business Analyst, Not Disclosed by Recruiter ,2 - 6 yrs,Monitoring| SDLC| Agile| Stakeholder management| Waterfall model| Bfsi| Business Analyst| Analyst 2| Compliance| Manager Technology,System Design/Implementation/ERP/CRM,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
7238ba221c885e1452283919a421c85b,2019-08-05 05:01:01 +0000,Urgently Requirement For Business Analyst," 12,00,000 - 16,00,000 PA. ",3 - 8 yrs,SAP BO| Power Bi| SAS| Business Analytics| Techno Functional| Database Design| Tableau| MATLAB| SAS BI| SQL,Analytics & BI,Hyderabad,Analytics & Business Intelligence,"Animation, Gaming",,,,0,1,"12,00,000","16,00,000 PA."
